placeID,placeName,placeType,latitude,longitude
1297,Lyndale Farmstead Dog Park,park,44.9326464,-93.2931211
1298,Lyndale Park Gardens,park,44.9275251,-93.2953725
1299,Annual/Perennial Gardens,park,44.9274528,-93.29556339999999
1300,Lyndale Park Rose Garden,park,44.92741729999999,-93.29576
1301,Peace (Rock) Garden,park,44.9286263,-93.29604379999999
1304,Thomas Sadler Roberts Bird Sanctuary,park,44.92900940000001,-93.3027321
1307,Lake Nokomis Community Center,park,44.9115,-93.243102
1308,Pearl Park,park,44.9036632,-93.26878599999999
1309,Painter Park,park,44.942151,-93.28748499999999
1315,Minnehaha Dog Park,park,44.90599170000001,-93.197976
1316,Hidden Falls Regional Park,park,44.9062788,-93.19305179999999
1318,Keewaydin Park,park,44.9074817,-93.2284899
1319,Xinia Park,park,44.9101266,-93.1808686
1321,Nokomis Naturescape Garden,park,44.9129089,-93.2344536
1323,Howell Park,park,44.9072399,-93.1797702
1324,The Zeilingold Triangle,park,44.9100679,-93.17773059999999
1329,Keewaydin Field,park,44.90815419999999,-93.22788419999999
1330,Windom South Park,park,44.8975492,-93.2800741
1331,B&J Trees at Veterans Memorial Park in Richfield,park,44.8883394,-93.2659832
1332,Wood Lake Nature Center,park,44.87811749999999,-93.29173329999999
1333,Diamond Lake Park,park,44.90012,-93.2692363
1334,Madison Park,park,44.8896992,-93.302071
1335,Nicollet Park,park,44.8891636,-93.27690840000001
1336,Garfield Park,park,44.8878172,-93.286344
1337,Modernized Nature Woodworking,park,44.8933137,-93.2681483
1339,Honoring All Veterans Memorial,park,44.88703329999999,-93.2678596
1340,Minnehaha Creek West Park,park,44.9106579,-93.298474
1341,Richfield Recreation Services,park,44.8806624,-93.2686573
1342,Lynnhurst Park,park,44.91321190000001,-93.2996891
1343,Veterans Park,park,44.888336,-93.2659851
1344,Monroe Field,park,44.8815639,-93.3008126
1345,Minnehaha Creek Park,park,44.910398,-93.2719762
1346,Kenny Park,park,44.8987202,-93.29743979999999
1347,Good view,park,44.88675659999999,-93.28955739999999
1348,Grass Lake Park,park,44.8928676,-93.29824169999999
1349,Richfield Lake Park,park,44.8856207,-93.2916906
1368,Lake Hiawatha Park Bridge,park,44.9187482,-93.23375449999999
1369,S 32nd Ave Tennis Courts,park,44.9194361,-93.2255837
1390,Sunset Funeral Home & Sunset Cemetery,park,45.009927,-93.2139193
1392,Cavell Park,park,45.03025299999999,-93.24149399999999
1395,Waite Park,park,45.0293327,-93.2352815
1397,Water Tower Park,park,45.0281271,-93.21628369999999
1398,Ostrander Park,park,45.0404309,-93.2377478
1399,Ridgway Parkway Park,park,45.00287700000001,-93.218222
1400,Salo Park,park,45.0383992,-93.22275859999999
1401,Salo Park Amphitheater,park,45.0385792,-93.2228171
1408,Silver Point Park,park,45.0199688,-93.21675619999999
1409,Prestemon Park,park,45.0390571,-93.22953389999999
1442,Lowry Park,park,44.9672516,-93.2915682
1449,Loring Park,park,44.9699681,-93.2848422
1458,Talmage Crossing Community Garden,park,44.9896842,-93.22307470000001
1459,Como Corner Community Garden,park,44.9879769,-93.2214106
1460,FairShare Farm,park,44.9860769,-93.2215836
1461,Skyview Park,park,44.99315310000001,-93.20460609999999
1467,Hendon Triangles Park,park,44.9863841,-93.1959273
1502,"Northern Star, Scout BSA Base Camp",park,44.8933085,-93.1913687
1506,Airport Dog Park 1,park,44.8916455,-93.23261989999999
1516,Hampden Park,park,44.96975539999999,-93.1988751
1518,Green Party of Mn,park,44.9643564,-93.19789279999999
1519,Cromwell Square,park,44.9724063,-93.2005106
1520,Sydney Triangle,park,44.96870749999999,-93.19856109999999
1525,Gordon Square,park,44.97693049999999,-93.1964079
1526,Langford Recreation Center,park,44.9762821,-93.1951654
1549,Bossen Field Park,park,44.89869460000001,-93.2297552
1571,Valley View Park,park,45.0044507,-93.3198438
1577,Sochacki Park,park,45.006031,-93.3329387
1578,Theodore Wirth Chalet,park,44.9923973,-93.3233195
1586,North Commons Park,park,44.9969806,-93.30257610000001
1590,Dell Park,park,44.92237399999999,-93.31364479999999
1592,Lake Harriet Bandshell Park,park,44.9281483,-93.30768669999999
1594,William Berry Park,park,44.9316725,-93.3104772
1601,Linden Hills Park,park,44.9259789,-93.32004739999999
1602,Arden Park,park,44.9074908,-93.33434659999999
1603,Strachauer Park,park,44.8902118,-93.3238887
1604,Pershing Field Park,park,44.9158567,-93.3243725
1605,Lynnhurst Field,park,44.9134121,-93.2992398
1606,Pershing Park Basketball Courts,park,44.91459700000001,-93.3249417
1607,Dog Beach,park,44.9159129,-93.3094395
1608,Thom The Elf,park,44.9157228,-93.3087589
1609,Newton Sledding Hill,park,44.9105425,-93.3061362
1665,Theodore Wirth Regional Park - Volleyball Courts,park,44.9795466,-93.32357999999999
1668,Adeline Nature Area,park,44.9879995,-93.34356849999999
1725,Temple Israel Memorial Park Cemetery,park,44.9273386,-93.2712509
1726,Corcoran Park,park,44.9417484,-93.2441925
1727,Phelps Field Park,park,44.9320116,-93.2633132
1728,Bancroft-Meridian Garden,park,44.9340187,-93.25719149999999
1729,HardShell Frost Iron Training,park,44.9338041,-93.24577219999999
1741,Brownie Lake Park,park,44.9689615,-93.3245459
1743,WESAC Soccer Field #2,park,44.966356,-93.3056477
1745,Brownie Lake Mt. Bike Trails,park,44.9694592,-93.3236975
1747,Quaking Bog,park,44.9731947,-93.32833409999999
1759,Wolfe Park,park,44.93719309999999,-93.3424014
1762,Bde Maka Ska,park,44.9480368,-93.3063892
1763,Park Siding Park,park,44.9519016,-93.3200825
1765,Lake of the Isles Park,park,44.9516474,-93.30760049999999
1769,Trolley Path Garden,park,44.9239,-93.3194
1788,Nicollet Reading Room,park,44.9723665,-93.2761349
1828,Todd Park,park,44.9004195,-93.2640205
1829,Solomon Park,park,44.89645549999999,-93.2531206
1859,Feronia Square,park,44.95432619999999,-93.1812216
1862,Iris Park,park,44.9563256,-93.1801983
1866,Dickerman Park,park,44.955948,-93.1743702
1868,Cato Park,park,44.963869,-93.1776239
1907,Target Field Station Plaza & Amphitheater,park,44.98309620000001,-93.2786481
1908,North Loop Dog Care,park,44.9869064,-93.2824593
1909,Tocoma Park Place,park,44.9836543,-93.2693572
1944,Farview Park,park,45.00891619999999,-93.2855101
1947,Jordan Park,park,45.010483,-93.29992999999999
1949,Cleveland Park,park,45.0144374,-93.30971219999999
2025,Kenwood Park,park,44.9644377,-93.3057153
2027,Cedar Lake Point Beach,park,44.960487,-93.3227354
2062,Indulge & Bloom,park,44.9475647,-93.2976734
2064,Vera's Garden,park,44.9503851,-93.28735859999999
2065,East Isles Demonstration Raingarden,park,44.9495983,-93.30056979999999
2066,Soo Line Community Garden,park,44.950925,-93.28636689999999
